id,sz1,szbg,Organ-Size,pbg,Con-Com,SI-Index,BI-Index,Modality,classes,Dice,clDice,Boundary,Perimeter,Haussdorf,size
patient006_01_0_0.npy_H1,0,65536,0,100,0,,,1,0,1,1,1,1,1,1
patient006_01_0_1.npy_H1,0,63423,0,96.7758178710938,0,,,1,2,4.83091795733248E-11,1,6.80272088660061E-11,1,1,1
patient006_01_0_10.npy_H1,187,64990,0.28533935546875,99.1668701171875,1,0.52042626430915,0.138248847926267,1,3,0.585034012794495,0.692464351654053,5.34759354853254E-11,0.818414330482483,0.390243887901306,5.34759354853254E-11
patient006_01_0_2.npy_H1,1944,61308,2.96630859375,93.548583984375,1,0.63299945204143,0.398700896999691,1,3,0.742768287658691,0.892543852329254,0.829354524612427,0.726522862911224,0.387689858675003,5.14403276918873E-12
patient006_01_0_3.npy_H1,1708,61262,2.606201171875,93.4783935546875,1,0.645327500011146,0.383838383838384,1,3,0.955299437046051,0.931468546390533,0.954584419727325,0.951363503932953,0.944886386394501,5.85480101900071E-12
patient006_01_0_4.npy_H1,1430,61557,2.1820068359375,93.9285278320312,1,0.628720868212115,0.365008880994671,1,3,0.942269384860992,0.929624676704407,0.947930574417114,0.942460298538208,0.938502669334412,6.99300686801685E-12
patient006_01_0_5.npy_H1,1212,61865,1.849365234375,94.3984985351562,1,0.647965024394339,0.380368098159509,1,3,0.943472981452942,0.918045997619629,0.924574196338654,0.932470679283142,0.932786881923676,8.25082537014854E-12
patient006_01_0_6.npy_H1,1075,62220,1.64031982421875,94.940185546875,1,0.609525713653714,0.328544659587758,1,3,0.949817538261414,0.920345902442932,0.948912024497986,0.943223416805267,0.940465092658997,9.30232540302667E-12
patient006_01_0_7.npy_H1,711,62909,1.08489990234375,95.9915161132812,1,0.667806011793227,0.344700460829493,1,3,0.947075188159943,0.913192093372345,0.921379327774048,0.941095888614654,0.916093528270721,1.40646973234571E-11
patient006_01_0_8.npy_H1,600,63539,0.91552734375,96.9528198242188,1,0.553856664578964,0.256505576208178,1,3,0.911350429058075,0.917355358600616,0.913518071174622,0.925522983074188,0.874901652336121,1.66666663109494E-11
